iter	Logloss
0	0.6806439784
1	0.6700744886
2	0.6618401758
3	0.6494189186
4	0.6407694527
5	0.6340358671
6	0.6274523545
7	0.6213636807
8	0.6166484043
9	0.6129074141
10	0.6087631321
11	0.60253835
12	0.5984190509
13	0.5944861897
14	0.5897299231
15	0.585436344
16	0.5817316483
17	0.5768768262
18	0.5744908323
19	0.5717991133
20	0.5698266414
21	0.5685304011
22	0.5659703453
23	0.5638914556
24	0.5629477424
25	0.5611919811
26	0.5595461669
27	0.5588171042
28	0.5568889379
29	0.5557442999
30	0.5546240303
31	0.5537587964
32	0.5521623298
33	0.5505766918
34	0.5484965522
35	0.5479789685
36	0.5470898524
37	0.5462229052
38	0.5454256199
39	0.544514177
40	0.5434957608
41	0.5423380847
42	0.5409295408
43	0.5404243466
44	0.5392348221
45	0.5385272758
46	0.5377205501
47	0.5367360475
48	0.535832665
49	0.5351068196
50	0.5348711292
51	0.5343154118
52	0.5338273075
53	0.5330986234
54	0.5330415538
55	0.5326669513
56	0.5319830604
57	0.5313423466
58	0.531079704
59	0.5308002004
60	0.5302677484
61	0.5300068964
62	0.5298682399
63	0.5295033153
64	0.5290800191
65	0.5289711194
66	0.5283206502
67	0.5279588938
68	0.527899058
69	0.5276836593
70	0.5274561912
71	0.5270475958
72	0.5261878042
73	0.5258479347
74	0.5255306758
75	0.5251695992
76	0.5249539296
77	0.5246162849
78	0.524333707
79	0.5241131192
80	0.5238511019
81	0.5231319852
82	0.5229357779
83	0.5226727437
84	0.5221046868
85	0.5219228368
86	0.5216775757
87	0.5214885804
88	0.5211183152
89	0.5205790323
90	0.520096375
91	0.5198094399
92	0.5195957352
93	0.5190144988
94	0.518359627
95	0.5181357534
96	0.5178592748
97	0.5177002412
98	0.5172961557
99	0.5166319117
100	0.5163931392
101	0.5159843613
102	0.5156818715
103	0.5155101529
104	0.5151157882
105	0.5147326977
106	0.5146231395
107	0.5146040972
108	0.514087321
109	0.5138124487
110	0.5137116603
111	0.5135840663
112	0.5131408955
113	0.5129681348
114	0.5128598988
115	0.5123272446
116	0.5118429056
117	0.51164404
118	0.5114236794
119	0.5110873068
120	0.5106689754
121	0.5103931434
122	0.5102305248
123	0.5098910144
124	0.5094755497
125	0.509220828
126	0.5091965894
127	0.5090720164
128	0.5086587929
129	0.5086587579
130	0.5084326642
131	0.5082680838
132	0.5082482058
133	0.5081817879
134	0.5080150714
135	0.5078128214
136	0.5076548
137	0.5073454242
138	0.5068557073
139	0.5067312557
140	0.5064327983
141	0.5061455566
142	0.5061243152
143	0.5059329554
144	0.5057210997
145	0.5047346576
146	0.5043674709
147	0.5042798962
148	0.5041486679
149	0.5039513532
150	0.5037410946
151	0.5035098674
152	0.5032827558
153	0.5031438194
154	0.5028812922
155	0.5022736868
156	0.5021657978
157	0.5019146869
158	0.5013701474
159	0.5012690073
160	0.5007076367
161	0.5004267139
162	0.5001677534
163	0.4999265239
164	0.499761237
165	0.4996058632
166	0.4995209505
167	0.4994368392
168	0.4993587853
169	0.4992273842
170	0.498742124
171	0.4984702209
172	0.4979467276
173	0.497777178
174	0.4975907598
175	0.4972053844
176	0.4972053844
177	0.4968333176
178	0.4968049319
179	0.4966468408
180	0.4964698419
181	0.4961784433
182	0.4960456633
183	0.4957917374
184	0.4953422073
185	0.4951049445
186	0.4948922551
187	0.4945615929
188	0.494320963
189	0.4942560017
190	0.494074745
191	0.4939478153
192	0.4935442433
193	0.4932221726
194	0.4926712688
195	0.4924938055
196	0.4922628663
197	0.4920293461
198	0.4915688247
199	0.4914211426
200	0.4913018678
201	0.4911906659
202	0.4908388208
203	0.4906896893
204	0.4905580469
205	0.4902406884
206	0.4902103271
207	0.4899648957
208	0.4898326533
209	0.4893075391
210	0.4886565777
211	0.4884866786
212	0.4882009542
213	0.4878049123
214	0.4872058378
215	0.4867428201
216	0.4866029795
217	0.486221124
218	0.4861690282
219	0.4859959847
220	0.4857764791
221	0.4853399465
222	0.4850805902
223	0.4850181349
224	0.4849234088
225	0.4845835915
226	0.4843904196
227	0.4835524742
228	0.4833965337
229	0.4833661355
230	0.4827837125
231	0.4822590669
232	0.4822413884
233	0.4821311216
234	0.4820724432
235	0.4817414574
236	0.4815059161
237	0.4811486048
238	0.4809544073
239	0.4808411432
240	0.4806314538
241	0.4803989105
242	0.4798129836
243	0.4794424538
244	0.4789757155
245	0.478735803
246	0.4785403865
247	0.4781271515
248	0.4780367197
249	0.4778307828
250	0.4776041255
251	0.4772918597
252	0.477248999
253	0.4767890564
254	0.4765174348
255	0.4760069188
256	0.4759863883
257	0.4757893834
258	0.4755107683
259	0.4752385815
260	0.4751577689
261	0.4750646474
262	0.47464574
263	0.4745110657
264	0.4740658339
265	0.4735475224
266	0.4734125172
267	0.4732124575
268	0.4726981744
269	0.4723451233
270	0.4720887787
271	0.471885768
272	0.4716568018
273	0.4714133024
274	0.4708262161
275	0.4705482141
276	0.4703450874
277	0.470284029
278	0.4701892599
279	0.4698040713
280	0.4697059068
281	0.469325539
282	0.4689185818
283	0.4686904664
284	0.4684041663
285	0.4680459555
286	0.4677385483
287	0.4676466084
288	0.4674940259
289	0.4673199244
290	0.4672321062
291	0.467018229
292	0.4668500155
293	0.4665475507
294	0.4663087285
295	0.4662266821
296	0.4659464693
297	0.4657917032
298	0.4655872458
299	0.4653528084
300	0.4651953909
301	0.4648848876
302	0.464849274
303	0.4644954391
304	0.4643665554
305	0.4642635926
306	0.4637551941
307	0.4634811327
308	0.4631245651
309	0.4627572192
310	0.4627572015
311	0.46219652
312	0.4620625788
313	0.4619953582
314	0.4616590102
315	0.4614300523
316	0.4611264168
317	0.4608517888
318	0.4608394756
319	0.4605680349
320	0.4601711692
321	0.4599867664
322	0.459778419
323	0.4594743052
324	0.4591861282
325	0.4589245015
326	0.4586463608
327	0.4586460441
328	0.4583068572
329	0.458028297
330	0.4578875542
331	0.4574170698
332	0.4572166474
333	0.4571680155
334	0.4565687339
335	0.456417997
336	0.4563425802
337	0.4560380086
338	0.4556493069
339	0.4553514176
340	0.455053412
341	0.4548972141
342	0.4546155802
343	0.4545312533
344	0.4542966095
345	0.4541393281
346	0.4538884863
347	0.45381198
348	0.4535216409
349	0.4532118255
350	0.4524720808
351	0.4522192532
352	0.4520548703
353	0.4514864909
354	0.451317445
355	0.4510982571
356	0.4507038457
357	0.4504374007
358	0.4501134924
359	0.4498580038
360	0.4496620426
361	0.449420273
362	0.4492391168
363	0.4487818111
364	0.4487037466
365	0.4482766254
366	0.4482324252
367	0.4480796628
368	0.4479782409
369	0.4477091332
370	0.4474810325
371	0.4471137247
372	0.4470289024
373	0.4470033558
374	0.446773768
375	0.4466979324
376	0.4465127893
377	0.446489594
378	0.4462386672
379	0.4459040246
380	0.445450117
381	0.4452874071
382	0.4450926817
383	0.4446268657
384	0.4444973823
385	0.4443078444
386	0.4441627462
387	0.4440592005
388	0.4438522316
389	0.4438001717
390	0.4437126222
391	0.443296076
392	0.4430566974
393	0.4429475565
394	0.4427708128
395	0.4427215625
396	0.4425385786
397	0.4422914316
398	0.4419668905
399	0.4417505143
400	0.441473969
401	0.441210093
402	0.4410114741
403	0.4403718008
404	0.4400528479
405	0.4399246493
406	0.4396554751
407	0.4395922988
408	0.4390414934
409	0.439035077
410	0.4389253682
411	0.4388388256
412	0.4385565115
413	0.4383559969
414	0.4382460757
415	0.4380602259
416	0.4377545205
417	0.4374504118
418	0.4372346766
419	0.4369885809
420	0.4368716963
421	0.4367227132
422	0.4366041484
423	0.4364231939
424	0.4361100884
